id,name,type,age,year,sector,genre,land,Produktionsfirma,Regie
waungraudejanaderi,Wallace und Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Steve Box
waungraudejanaderitwo,Wallace Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Nick Park
thwhco,The White Countess,2,43,2005,1,2,US,Sony Pictures Classics,James Ivory
hapoanthgooffi,Harry Potter and the Goblet of Fire,2,43,2005,6,9,US,Electronic Arts,Nuno Miranda
juca,Julius Caesar,2,43,2005,4,2,UK,Barbican Centre,Deborah Warner
fahe,Faith Healer,2,44,2006,4,2,UK,GateTheatre,Jonathan Kent
laofthbl,Land of the Blind,2,44,2006,1,3,US,Samuel Goldwyn Films,Robert Edwards
beando,Bernard and Doris,2,44,2006,1,6,US,HBO,Bob Balaban
filo,First Love,2,45,2007,4,2,AUS,Sydney Festival,Michael Colgan
hapoanthorofthph,Harry Potter and the Order of the Phoenix,2,45,2007,6,9,US,Electronic Arts,Matt Birch
degodege,Der Gott des Gemetzels,2,46,2008,4,6,UK,Gielgud Theatre,Matthew Warchus
kooe,Koenig Oedipus,2,46,2008,4,2,UK,Royal National Theatre,Jonathan Kent
brseunst,Bruegge sehen und sterben,2,46,2008,1,6,US,Focus Features,Martin McDonagh
dihe,Die Herzogin,2,46,2008,1,3,US,Paramount Pictures,Saul Dibb
tokothhulo,Toedliches Kommando The Hurt Locker,2,46,2008,1,1,DE,Summit Media,Kathryn Bigelow
devo,Der Vorleser,2,46,2008,1,2,US,Weinstein Co,Stephen Daldry
thwidr,The Wildest Dream,2,48,2010,1,7,US,National Geographic,Anthony Geffen
eizanaknaufaineineab,Eine zauberhafte Nanny Knall auf Fall in ein neues Abenteuer,2,48,2010,1,6,US,Universal Studios,Susanna White
kadeti,Kampf der Titanen,2,48,2010,1,2,US,Warner Bros,Louis Leterrier
cejudaleunaner,Cemetery Junction Das Leben und andere Ereignisse,2,48,2010,1,2,US,Sony Pictures,Ricky Gervais
cejudaleunanertwo,Cemetery Junction Das Leben und andere Ereignisse two,2,48,2010,1,2,US,Sony Pictures,Stephen Merchant
dest,Der Sturm,2,49,2011,4,2,UK,Theatre Royal Haymarket,Trevor Nunn
coriolanus,Coriolanus,2,49,2011,1,1,US,Weinstein Co,Ralph Fiennes
diveveauhoeb,Die Verschwoerung Verrat auf hoechster Ebene,2,49,2011,1,3,AUT,Koch Media GmbH,David Hare
zodeti,Zorn der Titanen,2,50,2012,1,1,US,Warner Bros,Jonathan Liebesmann
grer,Große Erwartungen,2,50,2012,1,2,US,Fox,Mike Newell
jabosk,James Bond Skyfall,2,50,2012,1,1,US,Sony Pictures Entertainment,Sam Mendes
thinwo,The Invisible Woman,2,51,2013,1,2,UK,Sony Pictures Classics,Ralph Fiennes
grbuho,Grand Budapest Hotel,2,52,2014,1,6,US,Fox Searchlight,Wes Anderson
divetoge,Die Verschwörung Tödliche Geschäfte,2,52,2014,1,3,AUT,Koch Media GmbH,David Hare
divegnja,Die Verschwörung Gnadenlose Jagd,2,52,2014,1,3,AUT,Koch Media GmbH,David Hare
rev,Rev,2,52,2014,2,6,US,BBC America,Peter Cattaneo
mevde,Mesyats v derevne,2,52,2014,1,2,US,Warner Bros,Vera Glagoleva
maansu,Man and Superman,2,53,2015,4,2,UK,Royal National Theatre,Simon Godwin
abisp,A Bigger Splash,2,53,2015,1,3,FR,Fox Searchlight,Luca Guadagnino
jabosp,James Bond Spectre,2,53,2015,1,1,US,Sony Pictures Entertainment,Sam Mendes
baso,Baumeister Solness,2,54,2016,4,2,UK,Old Vic Theatre,Matthew Warchus
richardthree,Richard III,2,54,2016,4,2,UK,Almeida Theatre,Rupert Goold
haca,Hail Caesar,2,54,2016,1,6,US,Universal Pictures,Ethan Coen
hacatwo,Hail Caesar two,2,54,2016,1,6,US,Universal Pictures,Joel Coen
thwo,The Works,2,54,2016,1,2,UK,Kickstarter,Elliot Barnes Worrell
kudetasa,Kubo Der tapfere Samurai,2,54,2016,1,8,US,Focus Features,Travis Knight
thlebamo,The Lego Batman Movie,2,55,2017,1,8,US,Warner Bros,Chris McKay
seso,Sea Sorrow,2,55,2017,1,7,UK,Dissent Projects LTD,Vanessa Redgrave
anuncl,Antonius und Cleopatra,2,56,2018,4,2,UK,Royal National Theatre,Simon Godwin
nuthwhcr,Nurejew The White Crow,2,56,2018,1,2,US,Sony Pictures Classics,Ralph Fiennes
hoanwa,Holmes and Watson,2,56,2018,1,6,US,Columbia Pictures,Etan Cohen
ofse,Official Secrets,2,57,2019,1,3,CAN,IFC Films,Gavin Hood
thlemo2,The Lego Movie 2,2,57,2019,1,8,US,Warner Bros,Mike Mitchell
co53,Coup 53,2,57,2019,1,7,UK,Amirani Media,Taghi Amirani
bethde,Beat the Devil,2,58,2020,4,9,UK,Bridge Theatre,Nicholas Hytner
difarededrdo,Die fantastische Reise des Dr Dolittle,2,58,2020,1,6,US,Universal Pictures,Stephen Gaghan
diau,Die Ausgrabung,2,59,2021,1,2,US,Netflix,Simon Stone
thfo,The Forgiven,2,59,2021,1,2,US,Roadside Attractions,John Michael McDonagh
jabokezezust,James Bond Keine Zeit zu sterben,2,59,2021,1,1,US,Metro Goldwyn Mayer,Cary Joji Fukunaga
bethdefilm,Beat the Devil,2,59,2021,1,9,US,Annapurna Pictures,David Hare
thkima,The Kings Man,2,59,2021,1,6,US,20th Century Fox,Matthew Vaughn
thme,The Menu,2,60,2022,1,3,US,Searchlight Pictures,Mark Mylod
stlicr,Straight Line Crazy,2,60,2022,4,2,UK,Bridge Theatre,Nicholas Hytner
rafi,Ralph Fiennes,1,,,7,,,,
dacr,David Cronenberg,1,,,8,,8,,
nejo,Neil Jordan,1,,,8,,8,,
brra,Brett Ratner,1,,,8,,8,,
hoda,Howard Davies,1,,,8,,8,,
adno,Adrian Noble,1,,,8,,8,,
jure,Judith Reilly,1,,,8,,8,,
phku,Philip Kunhardt III,1,,,8,,8,,
mami,Marion Milne,1,,,8,,8,,
arpo,Arie Posin,1,,,8,,8,,
mafi,Martha Fiennes,1,,,8,,8,,
feme,Fernando Meirelles,1,,,8,,8,,
stbo,Steve Box,1,,,8,,8,,
nipa,Nick Park,1,,,8,,8,,
jaiv,James Ivory,1,,,8,,8,,
numi,Nuno Miranda,1,,,8,,8,,
dewa,Deborah Warner,1,,,8,,8,,
joke,Jonathan Kent,1,,,8,,8,,
roed,Robert Edwards,1,,,8,,8,,
boba,Bob Balaban,1,,,8,,8,,
mico,Michael Colgan,1,,,8,,8,,
mawa,Matthew Warchus,1,,,8,,8,,
mava,Matthew Vaughn,1,,,8,,8,,
mamc,Martin McDonagh,1,,,8,,8,,
sadi,Saul Dibb,1,,,8,,8,,
kabi,Kathryn Bigelow,1,,,8,,8,,
stda,Stephen Daldry,1,,,8,,8,,
ange,Anthony Geffen,1,,,8,,8,,
suwh,Susanna White,1,,,8,,8,,
lole,Louis Leterrier,1,,,8,,8,,
rige,Ricky Gervais,1,,,8,,8,,
stme,Stephen Merchant,1,,,8,,8,,
trnu,Trevor Nunn,1,,,8,,8,,
daha,David Hare,1,,,8,,8,,
joli,Jonathan Liebesmann,1,,,8,,8,,
mine,Mike Newell,1,,,8,,8,,
same,Sam Mendes,1,,,8,,8,,
wean,Wes Anderson,1,,,8,,8,,
peca,Peter Cattaneo,1,,,8,,8,,
vegl,Vera Glagoleva,1,,,8,,8,,
sigo,Simon Godwin,1,,,8,,8,,
lugu,Luca Guadagnino,1,,,8,,8,,
rugo,Rupert Goold,1,,,8,,8,,
elbawo,Elliot Barnes Worrell,1,,,8,,8,,
trkn,Travis Knight,1,,,8,,8,,
chmc,Chris Mckay,1,,,8,,8,,
vare,Vanessa Redgrave,1,,,8,,8,,
etanco,Etan Cohen,1,,,8,,8,,
gaho,Gavin Hood,1,,,8,,8,,
mimi,Mike Mitchell,1,,,8,,8,,
taam,Taghi Amirani,1,,,8,,8,,
nihy,Nicholas Hytner,1,,,8,,8,,
stga,Stephen Gaghan,1,,,8,,8,,
sist,Simon Stone,1,,,8,,8,,
jomimc,John Michael McDonagh,1,,,8,,8,,
cajofu,Cary Joji Fukunaga,1,,,8,,8,,
mamy,Mark Mylod,1,,,8,,8,,
wyth,Wyndhams Theatre,2,,,9,,9,,
fox,Fox,2,,,9,,9,,
ronath,Royal National Theatre,2,,,9,,9,,
throshco,The Royal Shakespeare Company,2,,,9,,9,,
pbs,PBS,2,,,9,,9,,
aaneshich,AandEs History Channel,2,,,9,,9,,
picturehouse,Picturehouse,2,,,9,,9,,
mopi,Momentum Pictures,2,,,9,,9,,
dreamworks,Dreamworks SKG,2,,,9,,9,,
bace,Barbican Centre,2,,,9,,9,,
gath,GateTheatre,2,,,9,,9,,
sagofi,Samuel Goldwyn Films,2,,,9,,9,,
syfe,Sydney Festival,2,,,9,,9,,
gith,Gielgud Theatre,2,,,9,,9,,
paramount,Paramount,2,,,9,,9,,
sume,Summit Media,2,,,9,,9,,
nage,National Geographic,2,,,9,,9,,
throha,Theatre Royal Haymarket,2,,,9,,9,,
komegm,Koch Media GmbH,2,,,9,,9,,
fose,Fox Searchlight,2,,,9,,9,,
bbca,BBC America,2,,,9,,9,,
olvith,Old Vic Theatre,2,,,9,,9,,
alth,Almeida Theatre,2,,,9,,9,,
kickstarter,Kickstarter,2,,,9,,9,,
diprlt,Dissent Projects LTD,2,,,9,,9,,
iffi,IFC Films,2,,,9,,9,,
brth,Bridge Theatre,2,,,9,,9,,
roat,Roadside Attractions,2,,,9,,9,,
anpi,Annapurna Pictures,2,,,9,,9,,
sepi,Searchlight Pictures,2,,,9,,9,,
heboca,Helena Bonham Carter,1,,,7,,,,
pldeaf,Planet der Affen,2,35,2001,1,5,US,20th Century Fox,Tim Burton
novocaine,Novocaine,2,35,2001,1,6,US,Artisan Entertainment,David Atkins
football,Football,2,35,2001,1,9,,,Gaby Dellal
thheofme,The Heart of Me,2,36,2002,1,2,US,ThinkFilm,Thaddeus O Sullivan
tihuvowaus,Till Human Voices Wake us,2,36,2002,1,2,US,Paramount Pictures,Michael Petroni
lifrba,Live from Baghdad,2,36,2002,1,2,US,HBO Films,Mick Jackson
hevi,Henry VIII,2,37,2003,2,2,US,CBS,Pete Travis
bifi,Big Fish,2,37,2003,1,5,US,Columbia Pictures,Tim Burton
lesn,Lemony Snicket,2,38,2004,1,6,US,DreamWorks,Brad Silberling
chundisc,Charlie und die Schokoladenfabrik,2,39,2005,1,5,US,Warner Bros,Tim Burton
cowiotwo,Conversations with other Women,2,39,2005,1,9,US,Fabrication Films,Hans Canosa
waangrthcoofthwera1,Wallace and Gromit The Course of the Were Rabbit,2,39,2005,6,9,UK,Frontier Developments,
waangrthcoofthwera2,Wallace and Gromit Auf der Jagd nach dem Riesenkaninchen,2,39,2005,1,8,US,DreamWorks,Steve Box
cobrhomieile,Corpse Bride Hochzeit mit einer Leiche,2,39,2005,1,8,US,Warner Bros,Tim Burton
mase,Magnificent seven,2,39,2005,1,1,US,Metro Goldwyn Mayer,Kenneth Glenaan
sisi,Sixty Six,2,40,2006,1,6,US,First Independent Pictures,Paul Weiland
swtodetebaaudeflst,Sweeney Todd Der teuflische Barbier aus der Fleet Street,2,41,2007,1,4,US,Paramount Pictures,Tim Burton
tedier,Terminator Die Erloesung,2,43,2009,1,1,US,Warner Bros,Joseph McGinty Nichol
enid,Enid,2,43,2009,1,2,US,BBC,James Hawes
degr,Der Grueffelo,2,43,2009,1,8,US,BBC,Max Lang
alimwu,Alice im Wunderland,2,44,2010,1,5,US,Walt Disney,Tim Burton
thkisp,The Kings Speech,2,44,2010,1,2,US,Weinstein Co,Tom Hooper
toast,Toast,2,44,2010,1,6,UK,Wtwo Media,S J Clarkson
litosh,Lifes too short,2,45,2011,2,6,UK,Blink Entertainment,Ricky Gervais
dagr,Das Grueffelokind,2,45,2011,1,8,US,BBC,Uwe Heidschoetter
ruwaouofthga,Rufus Wainwright Out of the game,2,46,2012,5,9,US,Decca Records,Philip Andelman
dash,Dark Shadows,2,46,2012,1,4,UK,Warner Bros,Tim Burton
ath,A Therapy,2,46,2012,1,6,ITA,Prada,Roman Polanski
lemi,Les Miserables,2,46,2012,1,9,US,Universal Pictures,Tom Hooper
thlora,The Lone Ranger,2,47,2013,1,1,US,Walt Disney,Gore Verbinski
buunta,Burton und Taylor,2,47,2013,1,2,US,BBC,Richard Laxton
dikametr,Die Karte meiner Traeume,2,47,2013,1,1,US,Weinstein Co,Jean Pierre Jeunet
maanspbeinmaansp,Marks and Spencer Believe in Magic and Sparkle,2,47,2013,1,9,,,Johan Renck
cinderella,Cinderella,2,49,2015,1,9,US,Walt Disney,Kenneth Branagh
sutastwo,Suffragette Taten statt Worte,2,49,2015,1,2,US,Focus Features,Sarah Gavron
alimwuhidesp,Alice im Wunderland Hinter den Spiegeln,2,50,2016,1,5,US,Walt Disney,James Bobin
loni,Love Nina,2,50,2016,2,2,US,BBC,S J Clarkson
poap,Poles Apart,2,51,2017,1,2,UK,NFTS,Paloma Baeza
elanco,Eleanor and Colette,2,51,2017,1,2,DE,Elsani Film,Bille August
ststanamhe,Stg Stubby An American Hero,2,52,2018,1,9,US,Fun Academy Motion Pictures,Richard Lanni
ocei,Oceans Eight,2,52,2018,1,6,US,Warner Bros,Gary Ross
blopfodeofthni,Black Ops four Dead of the Night,2,52,2018,6,9,US,Treyarch,Jason Blundell
dedukraedewi,Der dunkle Kristall Aera des Widerstands,2,53,2019,2,5,US,Jim Henson Company,
emfohilojo,E M Forster His longest Journey,2,53,2019,1,7,US,,Adrian Munsey
dfthgrsoca,DFS The Great Sofa Caper,2,53,2019,1,8,US,DreamWorks,Magdalena Osinska
drve,Dragonheart Vengeance,2,54,2020,1,5,US,Raffaela Productions,Ivan Silvestrini
ciqudafohe,Cinema Quarantina Das Fone Hell,2,54,2020,1,9,,,Sam Neill
enho,Enola Holmes,2,54,2020,1,9,US,Warner Bros,Harry Bradbeer
thcr,The Crown,2,53,2019,2,2,US,Sony Pictures,Christian Schwochow
clown,Clown,2,54,2020,1,4,,,Luigi Berio
thcl,The Cleaner,2,55,2021,2,6,US,CBS,Les Mayfield
thho,The House,2,56,2022,1,6,UK,Nexus Studios,Paloma Baeza
tepe,Ten Percent,2,56,2022,2,6,US,Bron Studios,Sam Leifer
enho2,Enola Holmes 2,2,56,2022,1,9,US,Warner Bros,Harry Bradbeer
apwasesiitaldoth,Apple Watch Series six It already does that,2,54,2020,3,9,UK,Apple,
bradbrneda,Bryan Adams Brand New Day,2,49,2015,5,9,UK,Polydor,Bryan Adams
wiba,Wild Babys,2,56,2022,2,7,US,Netflix,
nolly,Nolly,2,56,2023,2,2,UK,Quay Street Productions,
aren,Artisan Entertainment,2,,,9,,,,
thinkfilm,ThinkFilm,2,,,9,,,,
papi,Paramount Pictures,2,,,9,,,,
hbo,HBO Films,2,,,9,,,,
cbs,CBS,2,,,9,,,,
copi,Columbia Pictures,2,,,9,,,,
drwo,Dream Works,2,,,9,,,,
wabr,Warner Bros,2,,,9,,,,
fafi,Fabrication Films,2,,,9,,,,
frde,Frontier Developments,2,,,9,,,,
fiinpi,First Independent Pictures,2,,,9,,,,
unpi,Universal Pictures,2,,,9,,,,
wadi,Walt Disney,2,,,9,,,,
weco,Weinstein CO,2,,,9,,,,
cafi,Carnival Films,2,,,9,,,,
fofe,Focus Features,2,,,9,,,,
nfts,NFTS,2,,,9,,,,
elfi,Elsani Films,2,,,9,,,,
fuacmopi,Fun Academy Motion Pictures,2,,,9,,,,
jiheco,Jim Henson Company,2,,,9,,,,
rapr,Raffaela Productions,2,,,9,,,,
sopi,Sony Pictures,2,,,9,,,,
brst,Bron Studios,2,,,9,,,,
qustpr,Quay Street Productions,2,,,9,,,,
wtme,Wtwo Media,2,,,9,,,,
netflix,Netflix,2,,,9,,,,
mgm,Metro Goldwyn Mayer,2,,,9,,,,
blen,Blink Entertainment,2,,,9,,,,
prada,Prada,2,,,9,,,,
nest,Nexus Studios,2,,,9,,,,
apple,Apple,2,,,9,,,,
polydor,Polydor,2,,,9,,,,
treyarch,Treyarch,2,,,9,,,,
dere,Decca Records,2,,,9,,,,
tibu,Tim Burton,1,,,8,,,,
daat,David Atkins,1,,,8,,,,
gade,Gaby Dellal,1,,,8,,,,
thosu,Thaddeus O Sullivan,1,,,8,,,,
mipe,Michael Petroni,1,,,8,,,,
mija,Mick Jackon,1,,,8,,,,
petr,Pete Travis,1,,,8,,,,
brsi,Brad Silberling,1,,,8,,,,
hacan,Hans Canosa,1,,,8,,,,
kegl,Kenneth Glenaan,1,,,8,,,,
pawe,Paul Weiland,1,,,8,,,,
toho,Tom Hooper,1,,,8,,,,
jaha,James Hawes,1,,,8,,,,
mala,Max Lang,1,,,8,,,,
sjcl,S J Clarkson,1,,,8,,,,
uwhe,Uwe Heidschoetter,1,,,8,,,,
phan,Philip Andelman,1,,,8,,,,
ropo,Roman Polanski,1,,,8,,,,
gove,Gore Verbinski,1,,,8,,,,
rila,Richard Laxton,1,,,8,,,,
jepije,Jean Pierre Jeunet,1,,,8,,,,
jore,Johann Renck,1,,,8,,,,
kebr,Kenneth Branagh,1,,,8,,,,
sagr,Sarah Gravon,1,,,8,,,,
jabo,James Bobin,1,,,8,,,,
