from,to,relation
heboca,tedier,1
heboca,enid,1
heboca,degr,6
heboca,alimwu,1
heboca,thkisp,1
heboca,toast,1
heboca,litosh,1
heboca,dagr,6
heboca,ruwaouofthga,1
heboca,dash,1
heboca,ath,1
heboca,grer,1
heboca,lemi,1
heboca,thlora,1
heboca,buunta,1
heboca,dikametr,1
heboca,maanspbeinmaansp,1
heboca,divetoge,1
heboca,divegnja,1
heboca,cinderella,1
heboca,sutastwo,1
heboca,alimwuhidesp,1
heboca,loni,1
heboca,poap,6
heboca,elanco,1
heboca,ststanamhe,1
heboca,ocei,1
heboca,blopfodeofthni,1
heboca,dedukraedewi,6
heboca,emfohilojo,1
heboca,dfthgrsoca,6
heboca,drve,6
heboca,ciqudafohe,1
heboca,enho,1
heboca,thcr,1
heboca,clown,6
heboca,thcl,1
heboca,thho,6
heboca,tepe,1
heboca,enho2,1
heboca,nolly,1
heboca,bradbrneda,1
heboca,apwasesiitaldoth,1
heboca,wiba,6
20cefo,pldeaf,2
aren,novocaine,2
thinkfilm,thheofme,2
papi,tihuvowaus,2
hbo,lifrba,2
cbs,hevi,2
copi,bifi,2
copi,lesn,2
wabr,chundisc,2
fafi,cowiotwo,2
frde,waangrthcoofthwera1,2
drwo,waangrthcoofthwera2,2
wabr,cobrhomieile,2
fiinpi,sisi,2
papi,swtodetebaaudeflst,2
wabr,tedier,2
bbc,enid,2
bbc,degr,2
wadi,alimwu,2
weco,thkisp,2
wtme,toast,2
bbc,dagr,2
wabr,dash,2
unpi,lemi,2
wadi,thlora,2
bbc,buunta,2
weco,dikametr,2
cafi,divetoge,2
cafi,divegnja,2
wadi,cinderella,2
fofe,sutastwo,2
wadi,alimwuhidesp,2
bbc,loni,2
nfts,poap,2
elfi,elanco,2
fuacmopi,ststanamhe,2
wabr,ocei,2
jiheco,dedukraedewi,2
rapr,drve,2
wabr,enho,2
sopi,thcr,2
cbs,thcl,2
brst,tepe,2
wabr,enho2,2
qustpr,nolly,2
netflix,wiba,2
mgm,mase,2
blen,litosh,2
prada,ath,2
20cefo,grer,2
drwo,dfthgrsoca,2
nest,thho,2
apple,apwasesiitaldoth,2
polydor,bradbrneda,2
treyarch,blopfodeofthni,2
dere,ruwaouofthga,2
tibu,pldeaf,3
daat,novocaine,3
gade,football,3
thosu,thheofme,3
mipe,tihuvowaus,3
mija,lifrba,3
petr,hevi,3
tibu,bifi,3
brsi,lesn,3
tibu,chundisc,3
hacan,waangrthcoofthwera1,3
stbo,waangrthcoofthwera2,3
tibu,cobrhomieile,3
kegl,mase,3
pawe,sisi,3
tibu,swtodetebaaudeflst,3
jaha,enid,3
mala,dagr,3
tibu,alimwu,3
toho,thkisp,3
sjcl,toast,3
rige,litosh,3
uwhe,dagr,3
phan,ruwaouofthga,3
tibu,dash,3
ropo,ath,3
mine,grer,3
toho,lemi,3
gove,thlora,3
rila,buunta,3
jepije,dikametr,3
jore,maanspbeinmaansp,3
daha,divetoge,3
daha,divegnja,3
kebr,cinderella,3
sagr,sutastwo,3
jabo,alimwuhidesp,3
sjcl,loni,3
paba,poap,3
biau,elanco,3
rilan,ststanamhe,3
garo,ocei,3
jabl,blopfodeofthni,3
admu,emfohilojo,3
maos,dfthgrsoca,3
ivsi,drve,3
habr,enho,3
chsc,thcr,3
lube,clown,3
paba,thho,3
sale,tepe,3
habr,enho2,3
brad,bradbrneda,3
sane,ciqudafohe,3
lema,thcl,3
jomc,tedier,3
